URL,Film Name,Screening type,Date,Time,Venue,City
https://festival.sundance.org/program/film/6569ffc5fac9f421a1c03cfc,The Battle for Laikipia,Screening,Jan 23,5:30 PM MST,Megaplex Theatres at The Gateway - Theater 6,Salt Lake City
https://festival.sundance.org/program/film/6569ffc5fac9f421a1c03cfc,The Battle for Laikipia,Screening,Jan 25,5:00 PM MST,Holiday Village Cinemas - 1,Park City
https://festival.sundance.org/program/film/656a00e2842a92472ecd35e5,The Mother of All Lies,Premiere,Jan 22,12:15 PM MST,Prospector Square Theatre,Park City
https://festival.sundance.org/program/film/656a00e2842a92472ecd35e5,The Mother of All Lies,Screening,Jan 24,2:30 PM MST,Redstone Cinemas - 2,Park City
https://festival.sundance.org/program/film/656a00e2842a92472ecd35e5,The Mother of All Lies,Screening,Jan 27,3:30 PM MST,Redstone Cinemas - 7,Park City
https://festival.sundance.org/program/film/656a00e2842a92472ecd35e5,The Mother of All Lies,Screening,Jan 28,5:00 PM MST,Megaplex Theatres at The Gateway - Theater 6,Salt Lake City
https://festival.sundance.org/program/film/6569fcf9fac9f46ec2c03908,The Outrun,Premiere,Jan 19,6:00 PM MST,Library Center Theatre,Park City
https://festival.sundance.org/program/film/6569fcf9fac9f46ec2c03908,The Outrun,Screening,Jan 20,6:00 PM MST,Redstone Cinemas - 2,Park City
https://festival.sundance.org/program/film/6569fcf9fac9f46ec2c03908,The Outrun,Screening,Jan 21,5:30 PM MST,Megaplex Theatres at The Gateway - Theater 1/2/3,Salt Lake City
https://festival.sundance.org/program/film/6569fcf9fac9f46ec2c03908,The Outrun,Screening,Jan 24,9:00 AM MST,The Ray Theatre,Park City
https://festival.sundance.org/program/film/6569fcf9fac9f46ec2c03908,The Outrun,Screening,Jan 27,5:30 PM MST,Redstone Cinemas - 1,Park City
https://festival.sundance.org/program/film/6569fcf9fac9f46ec2c03908,The Outrun,Screening,Jan 28,6:45 PM MST,Broadway Centre Cinemas - 3,Salt Lake City
https://festival.sundance.org/program/film/6569fcb4fac9f4b00bc038b8,The Synanon Fix,Premiere,Jan 21,6:30 PM MST,Prospector Square Theatre,Park City
https://festival.sundance.org/program/film/6569fcb4fac9f4b00bc038b8,The Synanon Fix,Screening,Jan 22,9:15 PM MST,Broadway Centre Cinemas - 6,Salt Lake City
https://festival.sundance.org/program/film/6569fcb4fac9f4b00bc038b8,The Synanon Fix,Screening,Jan 28,4:00 PM MST,Holiday Village Cinemas - 3,Park City
https://festival.sundance.org/program/film/6573b6048c1a1ffe8a01b32a,The Times of Harvey Milk,Screening,Jan 19,5:45 PM MST,Broadway Centre Cinemas - 6,Salt Lake City
https://festival.sundance.org/program/film/6573b6048c1a1ffe8a01b32a,The Times of Harvey Milk,Premiere,Jan 25,12:15 PM MST,Egyptian Theatre,Park City
https://festival.sundance.org/program/film/656a042a842a920a3dcd379c,Thelma,Premiere,Jan 18,6:30 PM MST,The Ray Theatre,Park City
https://festival.sundance.org/program/film/656a042a842a920a3dcd379c,Thelma,Screening,Jan 19,9:00 AM MST,Prospector Square Theatre,Park City
https://festival.sundance.org/program/film/656a042a842a920a3dcd379c,Thelma,Screening,Jan 20,9:00 PM MST,Rose Wagner Center,Salt Lake City
https://festival.sundance.org/program/film/656a042a842a920a3dcd379c,Thelma,Screening,Jan 23,1:15 PM MST,Eccles Theatre,Park City
https://festival.sundance.org/program/film/656a042a842a920a3dcd379c,Thelma,Screening,Jan 27,6:45 PM MST,Redstone Cinemas - 7,Park City
https://festival.sundance.org/program/film/656a042a842a920a3dcd379c,Thelma,Screening,Jan 28,1:15 PM MST,Broadway Centre Cinemas - 6,Salt Lake City
https://festival.sundance.org/program/film/6573b6108c1a1f8d3801b370,Three Seasons,Screening,Jan 20,10:30 AM MST,Broadway Centre Cinemas - 6,Salt Lake City
https://festival.sundance.org/program/film/6573b6108c1a1f8d3801b370,Three Seasons,Premiere,Jan 25,7:00 PM MST,Egyptian Theatre,Park City
https://festival.sundance.org/program/film/65760d7d277590bfbac9756e,U.S. Documentary Special Jury Award #1,Award Winner,Jan 27,11:00 AM MST,Rose Wagner Center,Salt Lake City
https://festival.sundance.org/program/film/65760dc32775904732c97622,U.S. Documentary Special Jury Award #2,Award Winner,Jan 27,6:00 PM MST,Megaplex Theatres at The Gateway - Theater 1/2/3,Salt Lake City
https://festival.sundance.org/program/film/657614fc277590acc4c97a50,U.S. Dramatic Special Jury Award #1,Award Winner,Jan 27,2:30 PM MST,Rose Wagner Center,Salt Lake City
https://festival.sundance.org/program/film/6576153f27759011dec97abd,U.S. Dramatic Special Jury Award #2,Award Winner,Jan 27,9:30 PM MST,Megaplex Theatres at The Gateway - Theater 1/2/3,Salt Lake City
https://festival.sundance.org/program/film/65750254e8eef598c019fcac,U.S. Grand Jury Prize: Documentary,Award Winner,Jan 27,12:30 PM MST,The Ray Theatre,Park City
https://festival.sundance.org/program/film/657502b3e8eef52fcf19fd0c,U.S. Grand Jury Prize: Dramatic,Award Winner,Jan 27,7:30 PM MST,The Ray Theatre,Park City
https://festival.sundance.org/program/film/656a082ffac9f4cdaac04734,Union,Premiere,Jan 21,11:30 AM MST,Library Center Theatre,Park City
https://festival.sundance.org/program/film/656a082ffac9f4cdaac04734,Union,Screening,Jan 22,12:00 PM MST,Redstone Cinemas - 7,Park City
https://festival.sundance.org/program/film/656a082ffac9f4cdaac04734,Union,Screening,Jan 23,5:00 PM MST,Broadway Centre Cinemas - 3,Salt Lake City
https://festival.sundance.org/program/film/656a082ffac9f4cdaac04734,Union,Screening,Jan 25,9:00 AM MST,Egyptian Theatre,Park City
https://festival.sundance.org/program/film/656a0365fac9f41ab9c043ec,Veni Vidi Vici,Premiere,Jan 18,7:15 PM MST,Egyptian Theatre,Park City
https://festival.sundance.org/program/film/656a0365fac9f41ab9c043ec,Veni Vidi Vici,Screening,Jan 19,11:00 AM MST,Redstone Cinemas - 1,Park City
https://festival.sundance.org/program/film/656a0365fac9f41ab9c043ec,Veni Vidi Vici,Screening,Jan 20,1:30 PM MST,Megaplex Theatres at The Gateway - Theater 6,Salt Lake City
https://festival.sundance.org/program/film/656a0365fac9f41ab9c043ec,Veni Vidi Vici,Screening,Jan 26,9:45 PM MST,Redstone Cinemas - 7,Park City
https://festival.sundance.org/program/film/6576185e277590d842c97e7c,Waldo Salt Screenwriting Award: U.S. Dramatic,Award Winner,Jan 28,4:30 PM MST,Library Center Theatre,Park City
https://festival.sundance.org/program/film/6569fa68fac9f4522ac0337c,War Game,Premiere,Jan 23,12:15 PM MST,Prospector Square Theatre,Park City
https://festival.sundance.org/program/film/6569fa68fac9f4522ac0337c,War Game,Screening,Jan 24,8:45 PM MST,Broadway Centre Cinemas - 6,Salt Lake City
https://festival.sundance.org/program/film/6569fa68fac9f4522ac0337c,War Game,Screening,Jan 26,11:30 AM MST,Redstone Cinemas - 2,Park City
https://festival.sundance.org/program/film/6569fbeffac9f48117c03722,Will & Harper,Premiere,Jan 22,7:30 PM MST,Eccles Theatre,Park City
https://festival.sundance.org/program/film/6569fbeffac9f48117c03722,Will & Harper,Screening,Jan 23,9:00 AM MST,The Ray Theatre,Park City
https://festival.sundance.org/program/film/6569fbeffac9f48117c03722,Will & Harper,Screening,Jan 25,9:30 PM MST,Megaplex Theatres at The Gateway - Theater 1/2/3,Salt Lake City
https://festival.sundance.org/program/film/6569fbeffac9f48117c03722,Will & Harper,Screening,Jan 26,9:30 AM MST,Holiday Village Cinemas - 3,Park City
https://festival.sundance.org/program/film/6569fbeffac9f48117c03722,Will & Harper,Screening,Jan 27,5:45 PM MST,Redstone Cinemas - 2,Park City
https://festival.sundance.org/program/film/6569fbeffac9f48117c03722,Will & Harper,Screening,Jan 28,4:30 PM MST,Broadway Centre Cinemas - 6,Salt Lake City
https://festival.sundance.org/program/film/656a03cb842a921789cd371a,Winner,Premiere,Jan 20,3:30 PM MST,The Ray Theatre,Park City
https://festival.sundance.org/program/film/656a03cb842a921789cd371a,Winner,Screening,Jan 21,12:00 PM MST,Redstone Cinemas - 7,Park City
https://festival.sundance.org/program/film/656a03cb842a921789cd371a,Winner,Screening,Jan 22,6:00 PM MST,Rose Wagner Center,Salt Lake City
